regulator_symbol	regulator_id	target_symbol	2target_id	database	evidence	confidence
AR	367	FBP2	28789	tred	Experimental	High
AR	367	FCER1A	22205	tred	Experimental	High
AR	367	FGB	22244	tred	Experimental	High
AR	367	FGF13	22258	tred	Experimental	High
AR	367	FGF2	22247	tred	Experimental	High
AR	367	FGF8	22253	tred	Experimental	High
AR	367	FGFBP1	29982	tred	Experimental	High
AR	367	FGFR1	22260	tred	Experimental	High
AR	367	FHL2	22274	tred	Experimental	High
AR	367	FOXA1	23169	tred	Experimental	High
AR	367	GADD45A	21647	tred	Experimental	High
AR	367	GADD45B	24616	tred	Experimental	High
AR	367	GADD45G	210912	tred	Experimental	High
AR	367	GATA3	22625	tred	Experimental	High
AR	367	GCK	22645	tred	Experimental	High
AR	367	GDEP	2118425	tred	Experimental	High
AR	367	GOT1	22805	tred	Experimental	High
AR	367	GSTP1	22950	tred	Experimental	High
AR	367	GTF2F1	22962	tred	Experimental	High
AR	367	H3F3A	23020	tred	Experimental	High
AR	367	HES1	23280	tred	Experimental	High
AR	367	HMGCS1	23157	tred	Experimental	High
AR	367	HMGCS2	23158	tred	Experimental	High
AR	367	HNF1A	26927	tred	Experimental	High
AR	367	HNF1B	26928	tred	Experimental	High
AR	367	HOXA1	23198	tred	Experimental	High
AR	367	HOXA4	23201	tred	Experimental	High
AR	367	HOXA7	23204	tred	Experimental	High
AR	367	HOXB4	23214	tred	Experimental	High
AR	367	HOXC8	23224	tred	Experimental	High
AR	367	HOXD4	23233	tred	Experimental	High
AR	367	HSD11B1	23290	tred	Experimental	High
AR	367	HSD17B1	23292	tred	Experimental	High
AR	367	IBSP	23381	tred	Experimental	High
AR	367	ICAM1	23383	tred	Experimental	High
AR	367	IFNAR1	23454	tred	Experimental	High
AR	367	IGFBP5	23488	tred	Experimental	High
AR	367	IL6ST	23572	tred	Experimental	High
AR	367	IL8	23576	tred	Experimental	High
AR	367	INS	23630	tred	Experimental	High
AR	367	IRAK2	23656	tred	Experimental	High
AR	367	JUN	23725	tred	Experimental	High
AR	367	KAT5	210524	tred	Experimental	High
AR	367	KAT7	211143	tred	Experimental	High
AR	367	KCNH4	223415	tred	Experimental	High
AR	367	KCNH8	2131096	tred	Experimental	High
AR	367	KHSRP	28570	tred	Experimental	High
AR	367	KLF5	2688	tred	Experimental	High
AR	367	KLK14	243847	tred	Experimental	High
AR	367	KLK15	255554	tred	Experimental	High
AR	367	KLK2	23817	tred	Experimental	High
AR	367	KLKB1	23818	tred	Experimental	High
AR	367	KRT19	23880	tred	Experimental	High
AR	367	LCP1	23936	tred	Experimental	High
AR	367	LIPA	23988	tred	Experimental	High
AR	367	LIPE	23991	tred	Experimental	High
AR	367	LPL	24023	tred	Experimental	High
AR	367	MAP4K2	25871	tred	Experimental	High
AR	367	MED1	25469	tred	Experimental	High
AR	367	MIF	24282	tred	Experimental	High
AR	367	MMP9	24318	tred	Experimental	High
AR	367	MUC1	24582	tred	Experimental	High
AR	367	MUC4	24585	tred	Experimental	High
AR	367	MUC5AC	24586	tred	Experimental	High
AR	367	MYB	24602	tred	Experimental	High
AR	367	MYC	24609	tred	Experimental	High
AR	367	MYCN	24613	tred	Experimental	High
AR	367	MYH6	24624	tred	Experimental	High
AR	367	NCOA1	28648	tred	Experimental	High
AR	367	NCOA2	210499	tred	Experimental	High
AR	367	NCOA3	28202	tred	Experimental	High
AR	367	NCOA4	28031	tred	Experimental	High
AR	367	NCOA6	223054	tred	Experimental	High
AR	367	NCOR1	29611	tred	Experimental	High
AR	367	NCOR2	29612	tred	Experimental	High
AR	367	NEDD9	24739	tred	Experimental	High
AR	367	NFKBIA	24792	tred	Experimental	High
AR	367	NKX2-1	27080	tred	Experimental	High
AR	367	NOL3	28996	tred	Experimental	High
AR	367	NOX1	227035	tred	Experimental	High
AR	367	NR1D1	29572	tred	Experimental	High
AR	367	NR1H3	210062	tred	Experimental	High
AR	367	NRIP1	28204	tred	Experimental	High
AR	367	NUDT6	211162	tred	Experimental	High
AR	367	PCK1	25105	tred	Experimental	High
AR	367	PDHA1	25160	tred	Experimental	High
AR	367	PGC	25225	tred	Experimental	High
AR	367	PIGR	25284	tred	Experimental	High
AR	367	PKD1	25310	tred	Experimental	High
AR	367	PLAT	25327	tred	Experimental	High
AR	367	PLAU	25328	tred	Experimental	High
AR	367	PML	25371	tred	Experimental	High
AR	367	PNRC1	210957	tred	Experimental	High
AR	367	POU1F1	25449	tred	Experimental	High
AR	367	POU2F1	25451	tred	Experimental	High
AR	367	POU5F1	25460	tred	Experimental	High
AR	367	PPARG	25468	tred	Experimental	High
AR	367	PPARGC1A	210891	tred	Experimental	High
AR	367	PPBP	25473	tred	Experimental	High
AR	367	PPP2R2C	25522	tred	Experimental	High
AR	367	PRKCA	25578	tred	Experimental	High
AR	367	PTGER2	25732	tred	Experimental	High
AR	367	PTGS1	25742	tred	Experimental	High
AR	367	PTGS2	25743	tred	Experimental	High
AR	367	PTHLH	25744	tred	Experimental	High
AR	367	RARA	25914	tred	Experimental	High
AR	367	RARB	25915	tred	Experimental	High
AR	367	RARG	25916	tred	Experimental	High
AR	367	RARRES3	25920	tred	Experimental	High
AR	367	RELA	25970	tred	Experimental	High
AR	367	RETN	256729	tred	Experimental	High
AR	367	RNF4	26047	tred	Experimental	High
AR	367	IL2	23558	tred	Experimental	High
AR	367	S100A8	26279	tred	Experimental	High
AR	367	S100A9	26280	tred	Experimental	High
AR	367	SAT1	26303	tred	Experimental	High
AR	367	SCARB1	2949	tred	Experimental	High
AR	367	SCD	26319	tred	Experimental	High
AR	367	SCGB1D1	210648	tred	Experimental	High
AR	367	SEMA6B	210501	tred	Experimental	High
AR	367	SERPINE1	25054	tred	Experimental	High
AR	367	SERPINF1	25176	tred	Experimental	High
AR	367	SFTPB	26439	tred	Experimental	High
AR	367	SLC10A2	26555	tred	Experimental	High
AR	367	SLC5A5	26528	tred	Experimental	High
AR	367	SMAD3	24088	tred	Experimental	High
AR	367	SMARCA1	26594	tred	Experimental	High
AR	367	SMARCA2	26595	tred	Experimental	High
AR	367	SMPD1	26609	tred	Experimental	High
AR	367	SNORD116-1	2100033413	tred	Experimental	High
AR	367	SOS1	26654	tred	Experimental	High
AR	367	STAT3	26774	tred	Experimental	High
AR	367	STAT5B	26777	tred	Experimental	High
AR	367	STRA6	264220	tred	Experimental	High
AR	367	TCF7	26932	tred	Experimental	High
AR	367	TG	27038	tred	Experimental	High
AR	367	TGFB1	27040	tred	Experimental	High
AR	367	TGFB2	27042	tred	Experimental	High
AR	367	TGM1	27051	tred	Experimental	High
AR	367	THPO	27066	tred	Experimental	High
AR	367	TMSB10	29168	tred	Experimental	High
AR	367	TNFAIP2	27127	tred	Experimental	High
AR	367	TNFRSF11B	24982	tred	Experimental	High
AR	367	TNFRSF1B	27133	tred	Experimental	High
AR	367	TPO	27173	tred	Experimental	High
AR	367	TRPS1	27227	tred	Experimental	High
AR	367	UBE3A	27337	tred	Experimental	High
AR	367	UCP1	27350	tred	Experimental	High
AR	367	UCP2	27351	tred	Experimental	High
AR	367	UCP3	27352	tred	Experimental	High
AR	367	UGT1A10	254575	tred	Experimental	High
AR	367	UGT2B4	27363	tred	Experimental	High
AR	367	ZMIZ1	257178	tred	Experimental	High
AR	367	IL6	23569	tred	Experimental	High
ARHGAP35	2909	CSK	21445	kegg	Experimental	High
ARHGAP35	2909	THY1	27070	kegg	Experimental	High
ARHGAP35	2909	SRC	26714	hprd,kegg	Experimental	High
ARHGAP35	2909	RHOA	2387	kegg	Experimental	High
ARNT	405	LEP	23952	tred	Experimental	High
ARNT	405	HIF1A	23091	hprd,kegg	Experimental	High
ARNT	405	EPAS1	22034	hprd,kegg	Experimental	High
ARNT2	9915	EPAS1	22034	kegg	Experimental	High
ARNT2	9915	HIF1A	23091	hprd,kegg	Experimental	High
ARNTL	406	CRY1	21407	hprd,kegg	Experimental	High
ARNTL	406	CRY2	21408	kegg	Experimental	High
ARNTL	406	CSNK1D	21453	kegg	Experimental	High
ARNTL	406	CSNK1E	21454	hprd,kegg	Experimental	High
ARNTL	406	PER1	25187	kegg	Experimental	High
ARNTL	406	NR1D1	29572	kegg	Experimental	High
ARNTL	406	CRY2	21408	kegg	Experimental	High
ARNTL	406	CRY1	21407	kegg	Experimental	High
ARNTL	406	BHLHE41	279365	kegg	Experimental	High
ARNTL	406	BHLHE40	28553	kegg	Experimental	High
ARNTL	406	PER2	28864	kegg	Experimental	High
ARNTL	406	RORA	26095	kegg	Experimental	High
ARNTL	406	PER3	28863	kegg	Experimental	High
ARNTL	406	PER2	28864	kegg	Experimental	High
ARNTL	406	PER1	25187	kegg	Experimental	High
ARNTL	406	PER3	28863	hprd,kegg	Experimental	High
ARNTL	406	RORC	26097	kegg	Experimental	High
ARNTL	406	RORB	26096	kegg	Experimental	High
ASH1L	55870	hsa-miR-375	2MIMAT0000728	transmir	Experimental	High
ATF1	466	GOLPH3	264083	ucsc,tred	Experimental	High
ATF1	466	FLT1	22321	ucsc,tred	Experimental	High
ATF1	466	COPA	21314	ucsc,tred	Experimental	High
ATF1	466	CYP11B1	21584	tred	Experimental	High
ATF1	466	CIITA	24261	tred	Experimental	High
ATF1	466	CHGA	21113	tred	Experimental	High
ATF1	466	CGA	21081	tred	Experimental	High
ATF1	466	CFTR	21080	tred	Experimental	High
ATF1	466	CDK1	2983	tred	Experimental	High
ATF1	466	FLII	22314	tred	Experimental	High
ATF1	466	FOS	22353	tred	Experimental	High
ATF1	466	GH2	22689	tred	Experimental	High
ATF1	466	HLA-G	23135	tred	Experimental	High
ATF1	466	HSPA5	23309	tred	Experimental	High
ATF1	466	ID2	23398	tred	Experimental	High
ATF1	466	IFNAR1	23454	tred	Experimental	High
ATF1	466	IL10	23586	tred	Experimental	High
ATF1	466	IL1B	23553	tred	Experimental	High
ATF1	466	IL6	23569	tred	Experimental	High
ATF1	466	INHBA	23624	tred	Experimental	High
ATF1	466	JUN	23725	tred	Experimental	High
ATF1	466	LOR	24014	tred	Experimental	High
ATF1	466	LTC4S	24056	tred	Experimental	High
ATF1	466	MED21	29412	tred	Experimental	High
ATF1	466	MYH10	24628	tred	Experimental	High
ATF1	466	NANS	254187	tred	Experimental	High
ATF1	466	NKX6-1	24825	tred	Experimental	High
ATF1	466	NOS1	24842	tred	Experimental	High
ATF1	466	NR3C2	24306	tred	Experimental	High
ATF1	466	NT5E	24907	tred	Experimental	High
ATF1	466	NTRK1	24914	tred	Experimental	High
ATF1	466	NTRK3	24916	tred	Experimental	High
ATF1	466	NTS	24922	tred	Experimental	High
ATF1	466	OXT	25020	tred	Experimental	High
ATF1	466	PCSK1	25122	tred	Experimental	High
ATF1	466	PGK1	25230	tred	Experimental	High
ATF1	466	PLAUR	25329	tred	Experimental	High
ATF1	466	POLB	25423	tred	Experimental	High
ATF1	466	POLG2	211232	tred	Experimental	High
ATF1	466	PPP2R4	25524	tred	Experimental	High
ATF1	466	PTGS2	25743	tred	Experimental	High
ATF1	466	RB1	25925	tred	Experimental	High
ATF1	466	SLC19A1	26573	tred	Experimental	High
ATF1	466	SLC20A1	26574	tred	Experimental	High
ATF1	466	SLC6A4	26532	tred	Experimental	High
ATF1	466	SPRR3	26707	tred	Experimental	High
ATF1	466	ST3GAL5	28869	tred	Experimental	High
ATF1	466	TEAD1	27003	tred	Experimental	High
ATF1	466	ERBB2	22064	tred	Experimental	High
ATF1	466	EXOC3	211336	tred	Experimental	High
ATF1	466	FLI1	22313	tred	Experimental	High
ATF1	466	TFRC	27037	tred	Experimental	High
ATF1	466	CD8A	2925	tred	Experimental	High
ATF1	466	CCNA1	28900	tred	Experimental	High
ATF1	466	CCL5	26352	tred	Experimental	High
ATF1	466	CCDC65	285478	tred	Experimental	High
ATF1	466	CALCA	2796	tred	Experimental	High
ATF1	466	BRCA1	2672	tred	Experimental	High
ATF1	466	BCL2	2596	tred	Experimental	High
ATF1	466	ATM	2472	tred	Experimental	High
ATF1	466	AVP	2551	tred	Experimental	High
ATF1	466	ARNT2	29915	tred	Experimental	High
ATF1	466	AQP3	2360	tred	Experimental	High
ATF1	466	APEX1	2328	tred	Experimental	High
ATF1	466	AGXT	2189	tred	Experimental	High
ATF1	466	AGT	2183	tred	Experimental	High
ATF1	466	ADRB3	2155	tred	Experimental	High
ATF1	466	ACHE	243	tred	Experimental	High
ATF1	466	TG	27038	tred	Experimental	High
ATF1	466	TGFB2	27042	tred	Experimental	High
ATF1	466	TNF	27124	tred	Experimental	High
ATF1	466	TOP1	27150	tred	Experimental	High
ATF1	466	TOP2A	27153	tred	Experimental	High
ATF1	466	TRA@	26955	tred	Experimental	High
ATF1	466	TRB@	26957	tred	Experimental	High
ATF1	466	UBE2I	27329	tred	Experimental	High
ATF1	466	UCP1	27350	tred	Experimental	High
ATF1	466	UGT8	27368	tred	Experimental	High
ATF1	466	VIPR1	27433	tred	Experimental	High
ATF1	466	CYP11B2	21585	tred	Experimental	High
ATF1	466	DPAGT1	21798	tred	Experimental	High
ATF1	466	EGR1	21958	tred	Experimental	High
ATF1	466	VIP	27432	ucsc,tred	Experimental	High
ATF1	466	TSPAN31	26302	ucsc,tred	Experimental	High
ATF1	466	TH	27054	ucsc,tred	Experimental	High
ATF1	466	STAT3	26774	ucsc,tred	Experimental	High
ATF1	466	MUC1	24582	ucsc,tred	Experimental	High
ATF1	466	LDHA	23939	ucsc,tred	Experimental	High
ATF2	1386	PENK	25179	tred	Experimental	High
ATF2	1386	ACE	21636	tred	Experimental	High
ATF2	1386	APOC3	2345	tred	Experimental	High
ATF2	1386	ATF3	2467	tred	Experimental	High
ATF2	1386	CCNA1	28900	tred	Experimental	High
ATF2	1386	CCND1	2595	tred	Experimental	High
ATF2	1386	CDKN1A	21026	tred	Experimental	High
ATF2	1386	HLA-G	23135	tred	Experimental	High
ATF2	1386	IFNB1	23456	tred	Experimental	High
ATF2	1386	IFNG	23458	tred	Experimental	High
ATF2	1386	IMPDH2	23615	tred	Experimental	High
ATF2	1386	INS	23630	tred	Experimental	High
ATF2	1386	JUN	23725	tred	Experimental	High
ATF2	1386	NT5E	24907	tred	Experimental	High
ATF2	1386	PCK1	25105	tred	Experimental	High
ATF2	1386	PLAT	25327	tred	Experimental	High
ATF2	1386	PTGS2	25743	tred	Experimental	High
ATF2	1386	SELE	26401	tred	Experimental	High
ATF2	1386	TGFB2	27042	tred	Experimental	High
ATF2	1386	TNF	27124	tred	Experimental	High
ATF2	1386	ATF2	21386	ucsc,tred	Experimental	High
ATF2	1386	CYP11B2	21585	ucsc,tred	Experimental	High
ATF2	1386	FN1	22335	ucsc,tred	Experimental	High
ATF2	1386	NR4A2	24929	ucsc,tred	Experimental	High
ATF2	1386	RB1	25925	ucsc,tred	Experimental	High
ATF2	1386	VIP	27432	ucsc,tred	Experimental	High
ATF2	1386	CGA	21081	tred	Experimental	High
ATF2	1386	CYP11B1	21584	tred	Experimental	High
ATF2	1386	FOS	22353	tred	Experimental	High
ATF2	1386	HFE	23077	tred	Experimental	High
ATF2	1386	HLA-E	23133	tred	Experimental	High
ATF2	1386	HLA-F	23134	tred	Experimental	High
ATF2	1386	MAPK14	21432	hprd,kegg	Experimental	High
ATF2	1386	MAPK13	25603	hprd,kegg	Experimental	High
ATF2	1386	MAPK12	26300	kegg	Experimental	High
ATF2	1386	MAPK11	25600	hprd,kegg	Experimental	High
ATF3	467	ASNS	2440	tred	Experimental	High
ATF4	468	MKNK2	22872	kegg	Experimental	High
ATF4	468	RPS6KA5	29252	kegg	Experimental	High
ATF4	468	RPS6KA4	28986	kegg	Experimental	High
ATF4	468	RPS6KA3	26197	kegg	Experimental	High
ATF4	468	RPS6KA2	26196	kegg	Experimental	High
ATF4	468	RPS6KA1	26195	kegg	Experimental	High
ATF4	468	PRKX	25613	kegg	Experimental	High
ATF4	468	PRKACG	25568	kegg	Experimental	High
ATF4	468	PRKACB	25567	kegg	Experimental	High
ATF4	468	PRKACA	25566	kegg	Experimental	High
ATF4	468	CAMK2B	2816	kegg	Experimental	High
ATF4	468	CAMK2D	2817	kegg	Experimental	High
ATF4	468	CAMK2G	2818	kegg	Experimental	High
ATF4	468	CAMK4	2814	kegg	Experimental	High
ATF4	468	CREBBP	21387	kegg	Experimental	High
ATF4	468	DDIT3	21649	hprd,kegg	Experimental	High
ATF4	468	EIF2S1	21965	kegg	Experimental	High
ATF4	468	EP300	22033	kegg	Experimental	High
ATF4	468	GSK3B	22932	kegg	Experimental	High
ATF4	468	MAPKAPK2	29261	kegg	Experimental	High
ATF4	468	MAPKAPK3	27867	kegg	Experimental	High
ATF4	468	MKNK1	28569	kegg	Experimental	High
ATF4	468	PPP1R15A	223645	kegg	Experimental	High
ATF4	468	PTGS2	25743	tred	Experimental	High
ATF4	468	PPP1R15A	223645	tred	Experimental	High
ATF4	468	HPGD	23248	tred	Experimental	High
ATF4	468	DISC1	227185	tred	Experimental	High
ATF4	468	CGA	21081	tred	Experimental	High
ATF4	468	ASNS	2440	tred	Experimental	High
ATF4	468	CAMK2A	2815	kegg	Experimental	High
ATF4	468	CXCR5	2643	ucsc,tred	Experimental	High
ATF4	468	VIP	27432	ucsc,tred	Experimental	High
ATF4	468	RPS6KA6	227330	kegg	Experimental	High
ATF5	22809	DISC1	227185	tred	Experimental	High
ATF6	22926	HSPA5	23309	tred	Experimental	High
ATF6	22926	ATP2A2	2488	tred	Experimental	High
ATF6	22926	PSEN2	25664	kegg	Experimental	High
ATF6	22926	PSEN1	25663	kegg	Experimental	High
ATF6	22926	DDIT3	21649	kegg	Experimental	High
ATF6	22926	XBP1	27494	tred	Experimental	High
ATF6	22926	SRF	26722	tred	Experimental	High
ATF6B	1388	DDIT3	21649	kegg	Experimental	High
ATM	472	TP53	27157	hprd,kegg	Experimental	High
ATM	472	CHEK2	211200	hprd,kegg	Experimental	High
ATM	472	CHEK1	21111	hprd,kegg	Experimental	High
BBC3	27113	TP53	27157	kegg	Experimental	High
BBC3	27113	TP53AIP1	263970	kegg	Experimental	High
BCL3	602	SELP	26403	tred	Experimental	High
BCL3	602	PIR	28544	tred	Experimental	High
BCL3	602	NFKB2	24791	tred	Experimental	High
BCL3	602	MYB	24602	tred	Experimental	High
BCL3	602	FYN	22534	tred	Experimental	High
BCL3	602	CDH13	21012	tred	Experimental	High
BCL6	604	PRDM1	2639	tred	Experimental	High
BCR	613	hsa-miR-155	2MIMAT0000646	transmir	Experimental	High
BMP2	650	hsa-miR-31	2MIMAT0000089	transmir	Experimental	High
BMP2	650	hsa-miR-24	2MIMAT0000080	transmir	Experimental	High
BMP4	652	hsa-miR-200a	2MIMAT0000682	transmir	Experimental	High
BMP4	652	hsa-miR-145	2MIMAT0000437	transmir	Experimental	High
BMP4	652	hsa-miR-205	2MIMAT0000266	transmir	Experimental	High
BMP4	652	hsa-miR-200c	2MIMAT0000617	transmir	Experimental	High
BMP4	652	hsa-miR-200b	2MIMAT0000318	transmir	Experimental	High
BMP6	654	hsa-miR-21	2MIMAT0000076	transmir	Experimental	High
BMPR1A	657	hsa-miR-21	2MIMAT0000076	transmir	Experimental	High
BMPR1B	658	hsa-miR-21	2MIMAT0000076	transmir	Experimental	High
BPIFA1	51297	hsa-miR-141	2MIMAT0000432	transmir	Experimental	High
BRCA1	672	AKR1B1	2231	tred	Experimental	High
BRCA1	672	TP53	27157	tred	Experimental	High
BRCA1	672	TAF10	26881	tred	Experimental	High
BRCA1	672	STAT3	26774	tred	Experimental	High
BRCA1	672	ELK4	22005	tred	Experimental	High
BRCA1	672	ELK1	22002	tred	Experimental	High
BRCA1	672	DDB2	21643	tred	Experimental	High
BRCA1	672	hsa-miR-146b	2MIMAT0002809	transmir	Experimental	High
BRCA1	672	hsa-miR-146a	2MIMAT0000449	transmir	Experimental	High
BRCA1	672	BCL2	2596	tred	Experimental	High
BRCA1	672	AREG	2374	tred	Experimental	High
BRCA1	672	AR	2367	tred	Experimental	High
BRCA1	672	ESR1	22099	tred	Experimental	High
BRCA1	672	ERG	22078	tred	Experimental	High
BRCA1	672	ETS1	22113	tred	Experimental	High
BRCA1	672	GADD45A	21647	tred	Experimental	High
BRCA1	672	IGF1R	23480	tred	Experimental	High
BRCA1	672	JAK1	23716	tred	Experimental	High
BRCA1	672	JAK2	23717	tred	Experimental	High
BRCA1	672	KCNH4	223415	tred	Experimental	High
BRCA1	672	KCNH8	2131096	tred	Experimental	High
BRCA1	672	PCNA	25111	tred	Experimental	High
BRCA2	675	FHIT	22272	tred	Experimental	High
BRCA2	675	ESR1	22099	tred	Experimental	High
BRCA2	675	RAD51	25888	hprd,kegg	Experimental	High
BRD2	6046	hsa-miR-143	2MIMAT0000435	transmir	Experimental	High
BRD2	6046	hsa-miR-15b	2MIMAT0000417	transmir	Experimental	High
CAMP	820	hsa-miR-155	2MIMAT0000646	transmir	Experimental	High
CCND1	595	hsa-miR-20a	2MIMAT0000075	transmir	Experimental	High
CCND1	595	hsa-miR-17	2MIMAT0000070	transmir	Experimental	High
CDKN1A	1026	hsa-miR-449b	2MIMAT0003327	transmir	Experimental	High
